Process;Process_id;Level;extended_Description;brief_description;Domain;Vertical_Group;Original_id;M_Level;Framework Status
Resource Catalog Planning Management;1.5.18;2;"Resource Catalog Planning Management business process covers a set of business activities that understand and enable establish the plan to define, design and operationalize a catalog in order to meet the needs and objectives of Resource cataloging.
The Resource Catalog Planning Management business process ensure that the organization is able to identify the most appropriate scheme and goal for it catalog. It includes designing the Catalog plan and developing the specification according to Resource management requirement.";Resource Catalog Planning Management business process covers a set of business activities that understand and enable establish the plan to define, design and operationalize a catalog in order to meet the needs and objectives of Resource cataloging.;Resource Domain;Capability Management;;4;Released
Design Resource Catalog Plan;1.5.18.1;3;Resource Design Catalog Plan business activity understands requirements and capabilities demanded from the business to establish the Catalog plan based on the Resource strategy for Resource Catalog Planning Management.;Design Catalog Plan business activity understands requirements and capabilities demanded from the business to establish the Catalog plan based on the Resource strategy for Resource Catalog Planning Management.;Resource Domain;Capability Management;;4;Released
Define Resource Catalog Specification;1.5.18.2;3;"Define Catalog Specification business activity establishes the Catalog specifications based on the product/service/resource strategy to support Catalog Planning Management.
Define Catalog Specification leverages Specification Management business activities to establish the mandatory and optional design requirements, as well as catalog entry fields according to product/service/resource management needs. This process will be governed by the Enterprise Business Process for Catalog Management.";Define Catalog Specification business activity establishes the Catalog specifications based on the product/service/resource strategy to support Catalog Planning Management.;Resource Domain;Capability Management;;4;Released
Resource Specification Management;1.5.19;2;"Resource Specification Management business process leverages captured resource requirements to develop, master, analyze, and update documented standard conditions that must be satisfied by a resource design and/or delivery.
Resource Specifications Management can result in establishing in a centralized way, technical (know-how) standards. Such standards provide the organization with a means to control and approve the values and inputs of specification through structure, review, approval and distribution processes to stakeholders and suppliers.";Resource Specification Management business process leverages captured resource requirements to develop, master, analyze, and update documented standard conditions that must be satisfied by a resource design and/or delivery.;Resource Domain;Capability Management;;4;Released
Develop Resource Specifications;1.5.19.1;3;"Develop Resource Specification business activity define and elaborate on the conditions for meeting resource requirement for consistency, quality, functionality and fit for purpose.
This activity leverages captured resource requirements and resource preferences and builds in tolerances according to stakeholders for suppliers to adhere to.";Develop Resource Specification business activity define and elaborate on the conditions for meeting resource requirement for consistency, quality, functionality and fit for purpose.;Resource Domain;Capability Management;;4;Released
Describe Resource Specifications Property;1.5.19.1.1;4;Describe Resource Specifications Property set out and develop the frames, rules, constraints, models and the set of principles on which the resource specifications can be modelled according to resource requirements.;Describe Resource Specifications Property set out and develop the frames, rules, constraints, models and the set of principles on which the resource specifications can be modelled according to resource requirements.;Resource Domain;Capability Management;;4;Released
Align Resource Specifications;1.5.19.1.2;4;"Align Resource Specifications business activity handle the alignment of resources specification to functional and nonfunctional requirements.
The alignment of resource specifications can be to other resources as well as realization of the specific resource according to business concerns (e.g. cost, other accounting and non-accounting requirements etc.).";Align Resource Specifications business activity handle the alignment of resource specification to functional and nonfunctional requirements.;Resource Domain;Capability Management;;4;Released
Master Resource Specifications;1.5.19.2;3;"Master Resource Specifications business activity learn and understand the collection of resource specifications in order to manage improvement or evolution of standards that will used for design and construction of resource.
This business activity is used by organizations to establish a collection of standardized, pre-written specifications or guide specifications that can be used by resource designers, resource architects, and other resource construction entities.";Master Resource Specifications business activity learn and understand the collection of resource specifications in order to manage improvement or evolution of standards that will used for design and construction of resource.;Resource Domain;Capability Management;;4;Released
Analyze Resource Specifications;1.5.19.3;3;"Analyze Resource Specifications business activity research, assess and evaluate performance criteria and factors to develop, master, control/update resource specifications for resource requirement adherence.
This business activity can include multiple analyzes of resources specifications, including standard analysis (based on empirical research) or custom analysis (based on other standards). Analysis of Resource Specification include testing Resource specifications and the ability to meet business requirements, as well as conform to operational mandates.";Analyze Resource Specifications business activity research, assess and evaluate performance criteria and factors to develop, master, control/update resource specifications for resource requirement adherence.;Resource Domain;Capability Management;;4;Released
Update and Version Resource Specifications;1.5.19.4;3;"Update and Version Resource Specifications business activity update and track changes to existing resource specifications according to versioning policies to support requirement management.
This business activity manages all changes to resource specifications over their lifecycle. Resource specification versioning is an effective means to communicate changes to resource specifications, so that resource planners and consumers know what to expect. It includes communicating when changes are made to resource specification properties.";Update and Version Resource Specifications business activity update and track changes to existing resource specifications according to versioning policies to support requirement management.;Resource Domain;Capability Management;;4;Released
Resource Anomaly Lifecycle Management;1.5.20;2;"Resource Anomaly Lifecycle Management business process establishes and controls all activities that are involved in overseeing, directing, administering, controlling and organizing the definition, detection/prediction, mitigation and learnings related to Resource Anomaly Management.

Resource Anomaly Lifecycle Management cover the lifecycle activities, including:
Establishing what is normal for Resource in order to inform deviations or aberrations.
Orchestrating Resource Anomaly Management activities to meet business needs.
Managing the ability to acquire and apply knowledge and skills from past and present Resource anomalies.
Managing actions that make the best or effective use of Resource Management Closed Loops.
Monitoring feedback to and from Resource Management to support Resource Anomaly Management activities.
Reporting on Resource Anomaly Management Closed Loops.";Resource Anomaly Lifecycle Management business process establishes and controls all activities that are involved in overseeing, directing, administering, controlling and organizing the definition, detection/prediction, mitigation and learnings related to;Resource Domain;Business Value Development;;4;Released
Manage Resource Anomaly Definition;1.5.20.1;3;"Manage Resource Anomaly Definition business activity is in charge of defining and describing the information about data which is used in Resource Anomaly Management.
Manage Resource Anomaly Definition business activity covers activities that describe the criteria, characteristics, and expectations of information required for Resource Anomaly Detection. All descriptions and definitions of the information about data use in Resource Anomaly Management business activities may include, but not be limited to ""normal pattern data"", ""constraints data"", ""goals data"" etc.";Manage Resource Anomaly Definition business activity is in charge of defining and describing the information about data which is used in Resource Anomaly Management.;Resource Domain;Business Value Development;;4;Released
Define Resource Anomaly Closed Loop;1.5.20.1.1;4;"Define Resource Anomaly Closed Loop business activity state and describe the Resource Anomaly Closed Loops along with associated information that lead to identifying, detecting or predicting a Resource Anomaly.
This business activity supports Anomaly definition process and the Closed Loops associated, including all associated inputs that reasonably affect the management of an Anomaly Lifecycle. This activity also ensures that the organization understands, and has well-defined operational workflows underpinning Anomaly Management.";Define Resource Anomaly Closed Loop business activity state and describe the Resource Anomaly Closed Loops along with associated information that lead to identifying, detecting or predicting a Resource Anomaly.;Resource Domain;Business Value Development;;4;Released
Establish Resource Anomaly Closed Loop Information Sources;1.5.20.1.3;4;"Establish Resource Anomaly Closed Loop Information Sources business activity identifies all information sources and the requisite data that must be managed to support Resource Anomaly Management Closed Loops.
Establish Resource Anomaly Closed Loop Information Sources help to identify the information (not limited to business and operations rules), business logic, levels of classification (by importance, by period etc.), impact and urgency etc. that can help detect Resource Anomaly. This process supports Resource Anomaly Management during day-to-day resource delivery.";Establish Resource Anomaly Closed Loop Information Sources business activity identifies all information sources and the requisite data that must be managed to support Resource Anomaly Management Closed Loops.;Resource Domain;Business Value Development;;4;Released
Orchestrate Resource Anomaly Management Closed Loop;1.5.20.2;3;"Orchestrate Resource Anomaly Management Closed Loop business activity is in charge of organizing, arranging and coordinating changes that control Resource Anomaly Management Closed Loops.

This business activity will cover:
Managing Resource Anomaly Detection activities - initiating, suspending, maintaining, and terminating.
Organizing Resource Anomaly Detection activities - including arranging the sequence for Closed Loop activities.
Coordinating changes to a Resource Anomaly Management Closed Loop.";Orchestrate Resource Anomaly Management Closed Loop business activity is in charge of organizing, arranging and coordinating changes that control Resource Anomaly Management Closed Loops.;Resource Domain;Business Value Development;;4;Released
Manage Resource Anomaly Profile;1.5.20.2.1;4;"Manage Resource Anomaly Profile business activity is in charge of recording and analyzing Resource Anomaly Management frameworks in order to enable assess and predict Resource Anomaly Management capabilities according to well-specified resource management models.
Manage Resource Anomaly Profile supports Resource Anomaly Management operations, as well as capturing the business intents that need to be associated with Resource Anomaly Closed Loops and Resource Anomaly Management Lifecycle.";Manage Resource Anomaly Profile business activity is in charge of recording and analyzing Resource Anomaly Management frameworks in order to enable assess and predict Resource Anomaly Management capabilities according to well-specified resource management;Resource Domain;Business Value Development;;4;Released
Monitor Resource Anomaly Management Closed Loop;1.5.20.3;3;"Monitor Resource Anomaly Management Closed Loop business activity provides the capability to observe Resource Anomaly Management Closed Loops.
This business activity helps to scan; watch; monitor; and gain awareness of Resource Anomaly Management activities that provide feedback between Resource Anomaly Management Lifecycle(s) stages.";Monitor Resource Anomaly Management Closed Loop business activity provides the capability to observe Resource Anomaly Management Closed Loops.;Resource Domain;Business Value Development;;4;Released
Report Resource Anomaly Management Closed Loop;1.5.20.4;3;"Report Resource Anomaly Management Closed Loop business activity documents information organized to deliver an account of any, and all Resource Anomaly Closed Loops.
Anomaly Closed Loops may fall into either or across any of the four stages in any of the overarching Closed Loop pattern - Observe, Orient, Decide and Act - or other variations.";Report Resource Anomaly Management Closed Loop business activity documents information organized to deliver an account of any, and all Resource Anomaly Closed Loops.;Resource Domain;Business Value Development;;4;Released
Manage Resource Anomaly Intelligence;1.5.20.5;3;"Manage Resource Anomaly Intelligence business activity is in charge of acquiring and applying new learning, knowledge and skills to Resource Anomaly Management.
This business activity supports improving, optimizing, or evolving Resource Anomaly Management activities. Manage Resource Anomaly Intelligence helps to incorporate new knowledge and skills into Resource Anomaly Management processes. This is as well to enable improvement and optimization of all Anomaly Management in a continuum.";Manage Resource Anomaly Intelligence business activity is in charge of acquiring and applying new learning, knowledge and skills to Resource Anomaly Management.;Resource Domain;Business Value Development;;4;Released
Manage Resource Anomaly Optimization;1.5.20.6;3;"Manage Resource Anomaly Optimization business activity is in charge of actions that make the best and most effective use of Resource Anomaly Management activities to improve Resource Anomaly Management and ultimately Resource Management.
Manage Resource Anomaly Optimization business activity can manage the business logic and business rules associated with Resource Anomaly Detection, Resource Anomaly Assessment, Resource Anomaly Forecasting and Prediction, Resource Anomaly Mitigation, as well as underlying Resource Knowledge Management.
This business activity also includes fine-tuning of business logic, operations logic, business and operations rules that improve efficiency of Anomaly Management as a whole.";Manage Resource Anomaly Optimization business activity is in charge of actions that make the best and most effective use of Resource Anomaly Management activities to improve Resource Anomaly Management.;Resource Domain;Business Value Development;;4;Released
Resource Anomaly Management;1.5.21;2;"Resource Anomaly Management business processes establish actions that predict and detect aberrations or outlier events/activities, assess them for their impact, mitigate them, and record them before they ever become Resource Problem Management concerns. 
By establishing that an action or event is abnormal (based on known patterns), Resource Anomaly Management helps to assess them through a set of activities that may triage, plan detailed assessment, classify them and provide mitigatory actions for them. Through Resource Anomaly Management, assurance of Products, based on abnormal events or activities can be well categorized, prioritized and actioned on. Resource Anomaly Management is different from Resource Problem Management as the later addresses known issues, faults or problems.";Resource Anomaly Management business processes establish actions that predict and detect aberrations or outlier events/activities, assess them for their impact, mitigate them, and record them before they ever become Resource Problem Management concerns.;Resource Domain;Assurance;;4;Released
Predict Resource Anomaly;1.5.21.1;3;"Predict Resource Anomaly business activity is in charge of declaring or indicating in advance (or foretells on the basis of resource delivery observations, resource use experience or resource management reasons) upcoming exceptions, as well as trends that can lead to outlier activities / events or resource problems.
Resource Anomaly Prediction business activity can help to detect and interpret early activities or events with their impending exceptions while suggesting causes.";Predict Resource Anomaly business activity is in charge of declaring or indicating in advance (or foretells on the basis of resource delivery observations, resource use experience or resource management reasons) upcoming exceptions, as well as trends that;Resource Domain;Assurance;;4;Released
Forecast Resource Anomaly;1.5.21.1.1;4;"Forecast Resource Anomaly business activity predicts future Resource anomaly along with implications using historical, and /or ongoing patterns observed through exceptions.
Forecast Resource Anomaly business activity may include what-if analysis, or impact analysis of the anomalous exceptions. Forecast Resource Anomaly business activity supports the identification of potential risks of an exception, and the course of action needed to avoid potential risks.";Forecast Resource Anomaly business activity predicts future Resource Anomaly along with implications using historical, and /or ongoing patterns observed through exceptions.;Resource Domain;Assurance;;4;Released
Detect Resource Anomaly;1.5.21.2;3;"Detect Resource Anomaly business activity identify Resource delivery activities that are a deviation (aberrations or abnormal actions/events) from well-define norms or expectations.
Resource Anomaly Detection finds patterns in Resource Management activities, as well as with engaged parties given a deviation from planned, or expected business objectives or goals.";Detect Resource Anomaly business activity identify Resource delivery activities that are a deviation (aberrations or abnormal actions/events) from well-define norms or expectations.;Resource Domain;Assurance;;4;Released
Identify Resource Exception;1.5.21.2.1;4;"Identify Resource Exception business activity supports the detection of Resource Anomaly by investigating (recognizing and establishing) particular activity or event as an exception.
Identify Resource Exception business activity will support all Resource Anomaly Management business activities - Assess Resource Anomaly, Predict Resource Anomaly, Mitigate Resource Anomaly and Learn Resource Anomaly.";Identify Resource Exceptions business activity supports the detection of Resource Anomaly by investigating (recognizing and establishing) particular activity or event as an exception.;Resource Domain;Assurance;;4;Released
Treat Resource Exception;1.5.21.2.2;4;"Treat Resource Exception business activity provides the set of actions that support managing a products anomalous exception.
This covers actions that may be:
Proactive: Where the treatment of the conditions leading from the exception are controlled;
Reactive: Where the treatment is directly in response to the exception.
Treat Resource Exceptions business activity helps to outline a series of actions that can expedite decisions for mitigation.";Treat Resource Exception business activity provides the set of actions that support managing a products anomalous exception.;Resource Domain;Assurance;;4;Released
Escalate Resource Exceptions;1.5.21.2.3;4;"Escalate Resource Exception business activity is in charge of increasing the attention given to handling of a Resource Exception.
Escalating a Products exception may be based on several factors, including defined business rules of escalation, or the lack thereof for handling a products exception.";Escalate Resource Exception business activity is in charge of increasing the attention given to handling of a Resource Exception.;Resource Domain;Assurance;;4;Released
Assess Resource Anomaly;1.5.21.3;3;"Assess Resource Anomaly business activity check, estimate, appraise and evaluate Resource anomaly observations to determine implications and follow-on treatment.
Assess Resource Anomaly ensures that the business can ascertain understanding of a products anomalous activity, its extent/scale, cause and effect, and provide evidence-based information to develop courses of action.";Assess Resource Anomaly business activity check, estimate, appraise and evaluate Resource anomaly observations to determine implications and follow-on treatment.;Resource Domain;Assurance;;4;Released
Triage Resource Exception;1.5.21.3.1;4;"Triage Resource Exception business activity is in charge of identifying and assigning the degrees of urgency, and the order of treatment of products anomalous exceptions.
Triage Resource Exceptions sub activities may include prioritizing exceptions and underlying Resource anomaly events while examining causes that enable apply an initial set of mediatory actions.";Triage Resource Exception business activity is in charge of identifying and assigning the degrees of urgency, and the order of treatment of products anomalous exceptions.;Resource Domain;Assurance;;4;Released
Plan and Select Resource Anomaly Assessment Criteria;1.5.21.3.2;4;"Plan and Select Resource Anomaly Assessment Criteria business activity define the course of action to assess a Resource anomaly, along with organizing the products anomaly assessment criteria in order to best facilitate detection and mitigation of anomalies.
The 'Plan and Select Resource Assessment Criteria' process helps the organization to optimize the approaches to assess Resource anomaly criteria in order to continually avoid impact of false positives and/or false negatives in the detection of Resource anomalies.";Plan and Select Resource Anomaly Assessment Criteria business activity define the course of action to assess a Resource anomaly, along with organizing the products anomaly assessment criteria in order to best facilitate detection and mitigation of anomal;Resource Domain;Assurance;;4;Released
Analyze Resource Anomalies to Learning;1.5.21.3.3;4;"Analyze Resource Anomalies to Learning business activity establish actions to discover and correlate anomalous behavior to 'learned normal' or 'expected behavior'.
Analyze Resource Anomalies to Learning sub activities help to enrich the organization's Anomaly Detection activities altogether, which can result in a reduction in the time to detect, triage and treat Resource anomalies.";Analyze Resource Anomalies to Learning business activity establish actions to discover and correlate anomalous behavior to 'learned normal' or 'expected behavior'.;Resource Domain;Assurance;;4;Released
Classify Resource Anomaly;1.5.21.3.4;4;"Classify Resource Anomaly business activity establish ways to organize Resource anomalies into established categories according to business priorities and Resource management objectives.
Classify Resource Anomaly includes establishing robust classification models that help to triage anomalies, identify  communication needs, determine and measure impact, and report on Resource anomalies.";Classify Resource Anomaly business activity establish ways to organize Resource anomalies into established categories according to business priorities and objectives.;Resource Domain;Assurance;;4;Released
Manage Resource Anomaly Assessment Feedback Reporting;1.5.21.3.5;4;"Manage Resource Anomaly Assessment Feedback Reporting business activity is in charge of establishing and handling the activities that prepare and report the feedback based of Resource Anomaly Assessment activity.
Manage Resource Anomaly Assessment Feedback business activity covers tasks that prepare and report feedback of an Anomaly Assessment activity. This business activity is also helpful in supporting the optimization of the Anomaly Detection business activity, such as fine-tuning know-how for Resource anomaly detection.
Reports generated from this business activity can be utilized for Resource Anomaly Mitigation and can help to select the consequent actions required to mitigate a Resource anomaly.";Manage Resource Anomaly Assessment Feedback Reporting business activity is in charge of establishing and handling the activities that prepare and report the feedback based of Resource Anomaly Assessment activity.;Resource Domain;Assurance;;4;Released
Mitigate Resource Anomaly;1.5.21.4;3;"Mitigate Resource Anomaly business activity is in charge of allaying or alleviate the impact of a products anomalous exception.
Mitigate Resource Anomaly identify and coordinate mitigatory actions required for products anomalous exceptions, including the initiation of remedial actions, and providing support to monitor and report on the mitigatory action.
Mitigate Resource Anomaly can ensure the effect of a detected anomalous exception is minimized or resolved through appropriate actions. The aim of this business activity is to reduce Resource Problem Management occurrence.";Mitigate Resource Anomaly business activity is in charge of allaying or alleviate the impact of a products anomalous exception.;Resource Domain;Assurance;;4;Released
Identify Resource Exception Mitigation;1.5.21.4.1;4;"Identify Resource Exception Mitigation business activity helps to map products anomalous exceptions with actions that will reduce impact to business.
Identifying Resource exception and their mitigatory action involves tasks that may leverage established business policies and constraints, and/or be based on knowledge and skills related to context.
This business activity helps to incorporate the right treatment based on the importance, impact or risk factors involved in a products operation. Any treatment of this nature can be static, based on pre-defined business rules, or dynamic based on skills and knowledge derived from context.";Identify Resource Exception Mitigation business activity helps to map products anomalous exceptions with actions that will reduce impact to business.;Resource Domain;Assurance;;4;Released
Coordinate Resource Exception Mitigation;1.5.21.4.2;4;Coordinate Resource Exception Mitigation business activity is in charge of managing the different activities of an exception mitigation plan all together to successfully realize a mitigation plan.;Coordinate Resource Exception Mitigation business activity is in charge of managing the different activities of an exception mitigation plan all together to successfully realize a mitigation plan.;Resource Domain;Assurance;;4;Released
Initiate Resource Exception Mitigation;1.5.21.4.3;4;"Initiate Resource Exception Mitigation business activity is in charge of starting the correct activities that mitigate Resource anomaly exceptions, cognizant of business requirement and goals.
Initiate Resource Exception Mitigation actions include recommendations for course of actions, fostering dynamic execution of actions, and/or scheduling actions based on predetermined business conditions and policies.";Initiate Resource Exception Mitigation business activity is in charge of starting the correct activities that mitigate Resource anomaly exceptions, cognizant of business requirement and goals.;Resource Domain;Assurance;;4;Released
Monitor Resource Exception Mitigation;1.5.21.4.4;4;"Monitor Resource Exception Mitigation business activity is in charge of observing, checking and keeping a continuous record of mitigatory actions that support Resource Anomaly Management.
Monitor Resource Exception Mitigation covers the action and data that are involved (including collection and analysis on predefined set of information - e.g. SLOs, SLAs, SLI etc.) in Resource Anomaly Management business activities, tasks and workflows.";Monitor Resource Exception Mitigation business activity is in charge of observing, checking and keeping a continuous record of mitigatory actions that support Resource Anomaly Management.;Resource Domain;Assurance;;4;Released
Report Resource Exception Mitigation;1.5.21.4.5;4;"Report Resource Exception Mitigation business activity is in charge of providing an account (documented or otherwise) of mitigatory actions taken to lessen or reduce the impact of a Resource anomaly.
Reporting on Resource Exception Mitigation may follow well-defined business and operations criteria, or predefined set of metrics (e.g. SLOs, SLAs, SLIs, OLAs etc.) that are underlying to mitigate Resource Anomaly Management business processes.";Report Resource Exception Mitigation business activity is in charge of providing an account (documented or otherwise) of mitigatory actions taken to lessen or reduce the impact of a Resource anomaly.;Resource Domain;Assurance;;4;Released
Manage Resource Anomaly Learning;1.5.21.5;3;"Manage Resource Anomaly Learning business activity is in charge of capturing, or acquiring knowledge and skill related to handled anomalous exceptions (from detection, through assessment to mitigation).
Manage Anomaly Learning business activity ensure that knowledge and skills gained from Resource anomalies can aide future Resource Anomaly Management activities.";Manage Resource Anomaly Learning business activity is in charge of capturing, or acquiring knowledge and skill related to handled anomalous exceptions (from detection, through assessment to mitigation).;Resource Domain;Assurance;;4;Released
Manage Resource Anomaly Case History;1.5.21.5.1;4;"Manage Resource Anomaly Case History business activity records all past information on Resource Anomaly events, Resource Anomaly Management activities and data underlying, and representing Resource Anomaly cases.
Manage Resource Anomaly Case History includes the maintenance of past and present records, all artifacts, knowledge-base (e.g. the specifications, profiles, exception patterns, action patterns etc.) and versioned information.
This business activity supports the organization to maintain skills and learning repository to identify and predict Anomalous Exception patterns and mitigatory actions.";Manage Resource Anomaly Case History business activity records all past information on Resource Anomaly events, Resource Anomaly Management activities and data underlying, and representing Resource Anomaly cases.;Resource Domain;Assurance;;4;Released
Business Partner Strategy & Planning;1.6.1;2;"Business Partner Strategy & Planning processes develop the strategies and policies of the enterprise for engaging with other parties. To support the enterprises supply and sourcing strategy the Business Partner Strategy and Planning processes develops the policies for Business Partner engagement, interaction and security. For example, the enterprise decides that it will outsource the supply of all Mobiles Networks; both the functional processes, as well as Infrastructure and Product Lifecycle Management processes. The effectuation of this is done according to policies and strategies set by the Business Partner Strategy and Planning processes.";Develop the strategies and policies of the enterprise for engagement with other parties;Business Partner Domain;Strategy Management;1.0.7.2;4;Released
Develop Business Partner Security Strategy;1.6.1.1;3;"Business Partner security strategies are informed both by commercial and regulatory pressures and to handle threats. 
Note:
Formal processes are required to develop strategy that is consumable by automated governance systems.  
Enterprises need to be able to create a suitable identity for all parties they interact with.   
The commercial aspects are derived from the value of trust, expectations and individual interests  that partners and consumers place with the enterprise.  An additional challenge would be when international relationship concerns exist, and may be either ethically or legislative in nature.
Failures to meet trust and expectations results in disengagement, and depresses business activity.  Regulatory pressures may include explicit consequences or corrective processes that can impact profitability.  The strategy also has to be framed in such a way as to enable any process to consume the strategy.  In addition any strategy should define what feedback it requires to continuously validate its implementation.";"Business Partner security strategy processes are required to develop strategies that are consumable by automated governance systems. 
Business Partner security strategies are informed both by commercial and regulatory pressures.";Business Partner Domain;Strategy Management;;4;Released
Identify Consumer Security or Privacy Interests;1.6.1.1.1;4;"Identify Consumer Security or Privacy Interests informs any strategy or intents adopted or executed by the enterprise, in particular the areas of activity exposed to consumer rights and privacy regulation.
Note:
An enterprise needs to continuously validate and correct its understanding of the interests of participating consumers of the enterprise's services and products.  Most markets are subject to shifting concerns and regulations, and changes in how consumers view their exposures to those concerns.";Identify Consumer Security or Privacy Interests, in particular the areas of activity exposed to consumer rights and privacy regulation.;Business Partner Domain;Strategy Management;;4;Released
Identify Upstream and Downstream Partner Security or Privacy Interests;1.6.1.1.2;4;"Identify Upstream and Downstream Partner Security or Privacy Interests informs any strategy or intents adopted or executed by the enterprise.  This strategy may differ from parties covered by explicit consumer rights or privacy regulation.
Note:
An enterprise needs to continuously validate and correct its understanding of any participating partners' interests.  Most ecosystems are subject to shifting concerns, and changes in how partners view their exposures to those concerns.";Identify Partner Security or Privacy Interests. This strategy may differ from parties covered by explicit consumer rights or privacy regulation.;Business Partner Domain;Strategy Management;;4;Released
Identify Security or Privacy Interests of Partner's Consumers;1.6.1.1.3;4;"Identify Security or Privacy Interests of Partner's Consumers informs any strategy or intents adopted or executed by the enterprise.
Note:
An enterprise needs to continuously validate and correct its understanding of any participating partner's consumer's interests.  Most markets are subject to shifting concerns, and changes in how partner's consumers view their exposures to those concerns.  

This process looks at the rights and privacy needs of the organization's partners consumers, that would still require a legal or ethical obligation.";Identify Partner's Consumers Security or Privacy Interests. This strategy may differ from parties covered by explicit consumer rights or privacy regulation.;Business Partner Domain;Strategy Management;;4;Released
Identify National and International Security Interests;1.6.1.1.4;4;"Identify National and International Security Interests informs any strategy or intents adopted or executed by the enterprise.
Note:
An enterprise needs to continuously validate and correct its understanding of any sovereign interests.  Most markets are subject to shifting concerns, and changes in how national entities view their exposures to those concerns.  

In particular national concerns may impose particular needs to be met with regards security.  An additional challenge would be when international relationship concerns exist, and may be either ethically or legislative in nature.  A partner's engagement with corrupt or belligerent third parties would result in a suitable policy response.";"Continuously validate and correct the Enterprise's understanding of any sovereign interests.
An additional challenge would be when international relationship concerns exist, and may be either ethically or legislative in nature.";Business Partner Domain;Strategy Management;;4;Released
Define Security and Privacy Domains;1.6.1.1.5;4;"Define Security and Privacy Domains boundaries that limit any policies and intents.
Note:
Enterprises need to define and manage any boundaries that limit any policies and intents.  While some domain boundaries may be set at the discretion of the enterprise, many other are imposed by regulation or law.  In either case, the domains defined will need constant review and analysis to ensure that business plans and risks are kept within acceptable levels of uncertainty while evolving.";Define Security and Privacy Domains boundaries that limit any policies and intents.  While some domain boundaries may be set at the discretion of the enterprise, many other are imposed by regulation or law.;Business Partner Domain;Strategy Management;;4;Released
Identify Security Threat Surfaces;1.6.1.1.6;4;"Identify Security Threat Surfaces that could potentially be used to compromise the value of trust in the organization.  
Note:
Enterprises need to identify and continuously manage all avenues that could potentially be used to compromise the value of trust in the organization.  The nature and severity of the threat will inform and shape any policies and responses that the organization arranges.";Identify Security Threat Surfaces that could potentially be used to compromise the value of trust in the organization.;Business Partner Domain;Strategy Management;;4;Released
Business Partner Tender Management;1.6.2;2;"Business Partner Tender Management processes manage the activities associated with developing tender documents, running tender processes, gaining enterprise agreement to tender decisions.
The tender process for the sourcing activity can be used not only for managing the sourcing of infrastructure of various types, but is also applicable for use in outsourcing tender processes, and for the sourcing of commodity items used within a business. The actual depth to which the sourcing process is used is dependent on such factors as the value of the sourced items. Note that these processes can also be used for the negotiated agreements between the enterprise and its competitors as a part of regulated inter-carrier agreements. While tender processes are not used in such a case, the processes for determining appropriate commercial arrangements and for gaining enterprise agreement are used for these regulated and competitive activities.
They also manage the evaluation of agreements with parties, to determine those with the products and services that best meet the enterprises needs.";Business Partner Tender Management processes manage the activities associated with developing tender documents, running tender processes, gaining enterprise agreement to tender decisions.;Business Partner Domain;Capability Management;1.0.7.1;4;Released
Determine the Sourcing Requirements;1.6.2.1;3;"The Determine the Sourcing Requirements processes manage the collection and finalization of the specific requirements to be achieved from the sourcing process including a chronological timetable for anticipated sourcing activities. These requirements take into account the required functional, technical and/or operational specifications produced by the area seeking the sourcing activity and assuring that appropriately aligned commercial aspects (such as special commercial terms, tender timing, cost parameters, etc.) are catered for. The requirements will be determined from the requirements specified in the various business or investment proposals, and any subsequent detailed specifications developed as a part of the architecture design activity, within the product, market, service or resource capability delivery processes. The actual range of requirements are dependent on the needs of the sourcing initiator, but are likely to include, at a minimum, technical, operational, training and specific supplier support requirements.
The Party Strategy and Planning processes will also provide a set of enterprise level requirements that the sourcing process will need to satisfy.
The processes include any interaction with cross-enterprise coordination and management functions to ensure that the requirements meets the needs of all stakeholders";Manage the collection and finalization of the specific requirements to be achieved from the sourcing process.;Business Partner Domain;Capability Management;1.0.7.1.1;4;Released
Capture Sourcing Requirements;1.6.2.1.1;4;"These processes manage the collection of the specific requirements and timetable to be achieved from the sourcing process. These requirements take into account the required functional, technical and/or operational specifications produced by the area seeking the sourcing activity and assuring that appropriately aligned commercial aspects (such as special commercial terms, tender timing, cost parameters, etc.) are catered for. The requirements will be determined from the requirements specified in the various business or investment proposals, and any subsequent detailed specifications developed as a part of the architecture design activity, within the product, market, service or resource capability delivery processes. The actual range of requirements are dependent on the needs of the sourcing initiator, but are likely to include, at a minimum, technical, operational, training and specific supplier support requirements. Detailed analysis of new resource requirements linked to relevant geographic distributions. These processes also establish the detailed performance requirements....much of the following about demand and capacity is performed by P/S/R Capability Delivery processes...so it should reference them rather than duplicating the tasks performed by them... These processes take the forecast information available from the Produce Resource Business Plans and requirements information from the Map & Analyze Service Requirements processes, as well as resource infrastructure requirements developed by the Develop Detailed Resource Specifications processes, to establish detailed views of anticipated resource demand and performance requirements.
These processes manage the capacity planning for the resource infrastructure, and identify capacity requirements based on service forecasts and appropriate resource related metrics, i.e., transaction volumes, storage requirements, traffic volumes, port availabilities, etc. The Party Strategy and Planning processes will also provide a set of enterprise level requirements that the sourcing process will need to satisfy.";These processes manage the collection of the specific requirements and timetable to be achieved from the sourcing process. These requirements take into account the required functional, technical and/or operational specifications produced by the area seeki;Business Partner Domain;Capability Management;1.0.7.1.1.1;4;Released
