Process;Process_id;Level;extended_Description;brief_description;Domain;Vertical_Group;Original_id;M_Level;Framework Status
Accept Order Management Infrastructure;1.3.1.2.7;4;Not used for this process element;Testing and acceptance of new and/or modified customer order Management infrastructure as part of the handover procedure from the Marketing & Offer  Management processes to Operations.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.8;4;Released
Address Order Management infrastructure Issues;1.3.1.2.8;4;Not used for this process element;Detecting customer order Management infrastructure operational limitations and/or deployment incompatibilities and providing requirements to address these aspects to Marketing & Offer Management processes.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.9;4;Released
Roll-out Order Management Infrastructure;1.3.1.2.9;4;Not used for this process element;Co-ordination and roll-out, in accordance with approved plans, of the approved new and/or modified customer order Management infrastructure.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.10;4;Released
Detect Order Management infrastructure Shortfalls;1.3.1.2.10;4;Not used for this process element;Monitoring capacity utilization of deployed customer order Management infrastructure to provide early detection of potential customer order Management infrastructure shortfalls.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.11;4;Released
Rebalance Order Management Infrastructure Utilization;1.3.1.2.11;4;Not used for this process element;Reconfiguration and re-arrangement of under-utilized deployed customer order Management infrastructure.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.12;4;Released
Remove Order Management Infrastructure;1.3.1.2.12;4;Not used for this process element;Managing recovery and/or removal of obsolete or unviable customer order Management infrastructure.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.13;4;Released
Report Order Management Infrastructure Capacity;1.3.1.2.13;4;Not used for this process element;Reporting on deployed customer order Management infrastructure capacity.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.14;4;Released
Track Third-Party Order Management Infrastructure Deployment;1.3.1.2.14;4;Not used for this process element;Tracking and monitoring of the customer order Management infrastructure deployment processes and costs (including where customer order Management infrastructure is deployed and managed by third parties).;Customer Domain;Operations Readiness & Support;1.1.1.22.2.15;4;Released
Report Order Management Infrastructure Deployment Process Capability;1.3.1.2.15;4;Not used for this process element;Reporting on the capability of the customer order Management infrastructure deployment processes.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.16;4;Released
Manage Order Management Notification;1.3.1.2.16;4;Not used for this process element;Establishing and managing customer order Management notification facilities and lists to support the Order Management notification and reporting processes.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.17;4;Released
