ABE_Name;BE_Name;Attribute_Name;Documentation;;;;
;;description;A narrative that explains in detail what the specification is.;;;;
;;lifecycleStatus;The condition of the specification, such as active, inactive, planned.;;;;
;;name;The name of the specification.;;;;
;;validFor;The period for which the specification is valid.;;;;
;UsageCharacteristicSum;;A total of UsageCharacteristicValues for a Party.;;;;
;;statisticForPeriod;The period for which the statistic is calculated.;;;;
;UsageCharacteristicSumBalance;;A balance of the aggregation of UsageCharacteristic'Values.;;;;
;;value;The UsageCharacteristic's values sum.;;;;
;;validFor;The period for which the balance is valid.;;;;
;UsageCharacteristicSumSpec;;A detailed description of the aggregation of UsageCharacteristicValues.;;;;
;;description;A narrative that explains in detail what the specification is.;;;;
;;lifecycleStatus;The condition of the specification, such as active, inactive, planned.;;;;
;;name;The name of the specification.;;;;
;;validFor;The period for which the specification is valid.;;;;
Business Partner Domain.Applied Party Billing Rate ABE;;;This ABE is still preliminary;;;;
;AppliedPartyBillingCharge;;An amount, usually of money, for which a person or organization is financially liable.;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AppliedPartyBillingCredit;;A credit assigned to the party's account in the course or for the purpose of the billing process;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AppliedPartyBillingDiscount;;"AppliedPartyBillingDiscount
A reduction in the price of a Product that is applied to reduce the associated charge.";;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AppliedPartyBillingProductAlteration;;A credit that is applied in order to reduce the associated charge.;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AppliedPartyBillingProductCharge;;A charge applied to a product.;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AppliedPartyBillingProductUsageRate;;A rated usage event typically produced by a rating engine.;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AppliedPartyBillingRate;;A charge or a credit assigned to the party's account in the course or for the purpose of the billing process. Subclasses further define these elements.;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AppliedPartyBillingRateSpec;;A detailed description of AppliedPartyBillingRate entity. This business entity holds the definition of all the characteristics (variant attributes) of AppliedPartyBillingRate;;;;
;;status;The condition of the product specification, such as active, inactive, planned.;;;;
;;validFor;The period for which the product specification is valid.;;;;
;;description;"This is a string, and defines a textual free-form description of the object.
Notes:
This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;AppliedPartyBillingRebate;;An amount, usually of money, which is paid back to a party's account, for example, because a party is entitled to a refund.;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AppliedPartyBillingTaxRate;;An amount of money levied on the price of a Product by a legislative body.;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AppliedPartyPenaltyCharge;;"The AppliedPartyPenaltyCharge is a type of AppliedPartyBillingCharge.
It represents penalty charges such as late fees, payment rejection fees, interests, that could be applied, linked to dunning of a due amount, in order to bill the party according to contractual terms and conditions.";;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;AtomicAppliedPartyBillingRate;;A single charge or a credit.;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;CompositeAppliedPartyBillingRate;;A sum of one or more other AppliedPartyBillingRates formed by aggregating other AppliedPartyBillingRates, which may be either Composite or Atomic AppliedPartyBillingRates.;;;;
;;date;A date of creation.;;;;
;;description;A textual description.;;;;
;;quantity;A unit (for example, US Dollars) and number of the applied rate.;;;;
;PartyFinancialCharge;;FinancialCharge represent a normalized aggregation of AtomicAppliedPartyBillingRate so every AtomicAppliedPartyBillingRate appears in exactly one FinancialCharge. This is critical for financial reporting.;;;;
Business Entity.Enterprise Domain;;;The Enterprise domain represents roles, information and activities that are required to run and support a business. These concepts focus on both the setting and achieving of strategic corporate goals and objectives, as well as providing those support services that are required throughout an Enterprise. These concepts are sometimes considered to be the corporate functions and/or processes (e.g., Financial Management, Human Resources Management processes, etc.). Since Enterprise Management is aimed at general support within the Enterprise, they may interface as needed with almost every other process in the Enterprise, be they operational, strategy, infrastructure or product processes.;;;;
Enterprise Domain.Enterprise Party Roles ABE;;;Enterprise Party Roles ABE contains all PartyRoles related to the Enterprise such as Employee, Employer, Regulator...;;;;
;ComplementaryProvider;;A type of ServiceProvider that complements another provider.;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;Regulator;;A party that supervises a particular industry or business activity;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;ServiceProvider;;An organization or individual which offers products to others in exchange for payment in some form.;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;ServiceProviderEmployee;;A Service ProviderEmployee is an Individual who is employed by the Service Provider for wages or salary. This is modeled as an Individual playing the role of ServiceProviderEmployee . A ServiceProviderEmployee is a type of PartyRole.;;;;
;;currentSalary;The current fixed regular payment, typically paid on a monthly or biweekly basis but often expressed as an annual sum, made by an employer to an employee.;;;;
;;employeeNr;A unique identification number for an employee.;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;ThirdPartyServiceProvider;;A ServiceProvider besides the two primarily involved in a situation.;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
Enterprise Domain.Workforce ABE;;;"Represents dispatched Field Force Management - human and other field resource with their roles, skills, calendars and other characteristics. Also models work orders, catalog of work descriptions, various schedules, as well as reservation and assignment of a technician to a task.
This Workforce Management Model can support the Common’s Project ABE and Common’s Party ABE. These ABEs were developed based on the SID principle of inherent extensibility by employing SID modeling patterns.
The scope of this phase focuses only on dispatchable Field Force Management, not call center workforce (customer facing) or NOC (network facing). The gap analysis and revision of this Field Force model for these areas should be a candidate for improvement in a future release.
Note: This model is the first result of a multi-phase work that follows the Chapter, “Business Agreement, Comment to TAM, and eTOM CR”. Naturally, it will progress to the remaining Integration Framework. However, many detailed aspects of the model need revision and additions in order to cover a broader scope of requirements in CSP business.
The ABEs concerned by this guide book are:
in Enterprise Domain
 - Workforce
in Common Business Entities Domain
 - Root Business Entities
 - Location
 - Business Interaction
 - Project
 - Time
 - Party
 - Agreement
The Workforce ABE models the human and other field resources with their roles, skills, calendar, and other characteristics. It also models the work description and reservation and assignment of a technician to a task. Workforce ABEs reuse, via association, other ABEs in other domains such as Party, Project, and Calendar.
The following Figure represents the structure of the Workforce ABE. It contains four L2 ABEs: Work, Work Specification, WorkforceResource, and WorkforceSchedule. Other related ABEs belong to Project, Party, Business Interaction, Location, Agreement, and Calendar.";;;;
Workforce ABE.Employee Pay ABE;;;The Employee Pay ABE provides the details of the Employee Pay and related components , Pay Group, Pay Range and Pay Grade which is the core structure for any organisation’s Pay Structure defined in the HCM system. Below diagram is the detailed view of the entities and their relationships.;;;;
;EmployeePay;;"EmployeePay describes pay information for an Employee such as salary, bonus or any other monetary benefits.

This is useful reading all changes over a period of time. This is further defined with the frequency amount pay group. ";;;;
;;/amount;"The amount corresponds to the sum of each EmployeePayComponent amount (calculated if it's a rate) for the EmployeePay period.

It specifies the unit (any currency) and the value such as $10.";;;;
;;/amoutPeriod;amountPeriod specifies the duration covered by the amount. For example, the amount may correspond to a complete Year.;;;;
;;ID;Unique Identifier of EmployeePay.;;;;
;;name;Name used to describe the EmployeePay.;;;;
;;validFor;Validity Period associated with the EmployeePay.;;;;
;EmployeePayComponent;;"EmployeePayComponent is where an Employee's components of pay is defined. Each section of their pay is defined as an individual line item and can have different frequencies or currencies.

This entity includes effective dated history.  Pay Component object stores all elements that are paid to employees like: base salary bonus target car allowance. 

For each pay component you need to define  
• If the component is recurring or a one time payment 
• If recurring the frequency 
• If it is paid as an absolute amount or percentage 
• If percentage what is it a percentage of (other Pay Component or Pay Component Group 
• If it is an earning or a deduction 
• If it is actual pay or target 
• If it is taxable or non-taxable 
• If it should be visible in Self Service 
• If it is used by compensation planning  Recurring pay components such as base salary should be defined with recurring attribute set to “Yes” and target attribute set to “No”. ";;;;
;;amount;"Value associated with the EmployeePayComponent. It specifies the unit (any currency) and the value such as $10.

Either it correspond to the amount specified by the PayComponentSpecification or to a specific amount if the PayComponentSpecification is empty.";;;;
;;description;Detailed description of the EmployeePayComponent if needed.;;;;
;;ID;Unique identifier of EmployeePayComponent.;;;;
;;name;Name used to describe the EmployeePayComponent.;;;;
;;validFor;Valid period during which the EmployeePayComponent can be used to build the payroll.;;;;
;PayComponentSpecification;;"PayComponentSpecification specifies components of a pay that might correspond to fixed salary, bonus...

Some of them have fixed amount and other amount might not be pre-defined when it can be specific to an employee while respecting PayRange threshold (minimum and maximum pay).";;;;
;;amount;"Value associated with the PayComponentSpecification. It specifies the unit (any currency or %) and the value such as $10 or 20%.

If the amount can be different for different employees having the same PayComponentSpecification, it's empty.";;;;
;;amountPeriod;amountPeriod specifies the duration covered by the amount. For example, the amount may correspond to a complete Year, in this case if the pay is executed monthly, the amount will be devided by 12 to find the amount for one pay.;;;;
;;ID;Unique Identifier of the PayComponentSpecification.;;;;
;;name;Name used to describe the PayComponentSpecification.;;;;
;;paymentFrequency;paymentFrequency corresponds to the frequency at which the PayComponentSpecification is applied. For example, it might be applied Monthly for basic pay or Yearly for a Bonus pay component.;;;;
;;validFor;Valid period during which the PayComponentSpecification can be used for an EmployeePayComponent.;;;;
;PayGrade;;A pay grade is a step that defines the amount of pay an employee will receive. The pay grade may or may not be defined by the level of the responsibilities performed within the job description of the position the authority exercised by the position and the length of time the employee has performed the job. This is generally associated with the Pay Range providing further details of the grades  steps and validity. ;;;;
;;ID;Unique identifier of PayGrade.;;;;
;;paySaleType;The type associated with the Pay grade scale information based on organisation's pay structure.;;;;
;;sequenceNumber;The sequence maintained at the pay scale type for the same pay grade to maintain the differences in the payment amount in the payroll system.;;;;
;PayGroup;;"Pay Group entity provides the capability to hold the information around the group of the employees/individuals which falls under the same category.

This is further extended with the agency which executes the payroll as well as the frequency of the payment. ";;;;
;;description;;;;;
;;frequency;Frequency of Payroll production of the PayGroup.;;;;
;;ID;Unique identifier of PayGroup.;;;;
;PayRange;;"PayRange defines a pay range for Employees. It specifies minimum, average and maximum amounts in the range.

It provides information which is primarily used for the calculation of Compensation Ratio and Range Penetration. 

Usually Pay Range is linked to Pay Grade. 

By default Pay Range is defined by Geographical Zone, Pay Grade and Legal Entity.  e.g. Organisation may define the PayRange associated with specific PayGrade.  

PayGrade G-1 - Sequence-1 can have Max Pay 70KGBP  Avg Pay 60K GBP and Min Pay 50K GBP";;;;
;;amountPeriod;amountPeriod corresponds to the amount period for minimum, maximum and average pay.;;;;
;;averagePay;Mid point for this Pay Range. This will be defined at global alignment. This field will define the middle point of an amount an employee can get paid that sit in a particular pay range. ;;;;
;;ID;Unique identifier of PayRange.;;;;
;;maximumPay;Maximum pay for this Pay Range. This will be defined at global alignment. This field will define the maximum amount an employee can get paid that sit in a particular pay range. ;;;;
;;minimumPay;Minimum pay for this Pay Range. This will be defined at global alignment. This field will define the minimum amount an employee can get paid that sit in a particular pay range. ;;;;
;;name;;;;;
;PayRollAgency;;PayRollAgency is a PartyRole played by a Party being an equitable partner in a business interaction with other parties, playing the Agency involved in the PayRoll Execution for the Organisation. ;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;PaySpecification;;PaySpecification specifies PayComponents that are part of a Pay in a PayRange. ;;;;
;;ID;Unique Identifier of the PaySpecification.;;;;
;;name;Name used to describe the PaySpecification.;;;;
;;validFor;Valid period during which the PaySpecification can be used for an EmployeePay.;;;;
Workforce ABE.Work Specification ABE;;;The WorkSpecification specifies a kind of work that can be performed manually by a technician. Two key entities that comprise the WorkSpecification ABE are WorkSpecification and WorkSpecFulfillmentRate.;;;;
;WorkSpecFulfillmentRate;;Entity that is used in Planning and WorkSpecification configuration. Represents a rate that shows how many particular work tasks (quantity attribute) can be performed by a given organization in a given location (or serving areas) with a given capacity (Consumption Capacity attribute). For example, with 100 man hours of Fiber layout skills, 200 works of “Dig a trench for Underground Cable, 200m length” can be performed in an urban area by an organization.;;;;
;;consumptionCapacity;Workforce capacity that is required by the work to be done for the location, and that the organization can supply. Unit of the value can be man hour, man day, etc;;;;
;;quantity;Maximal number of identical work tasks (defined by WorkSpecification) that the organization can do for the location, using the available capacity, at the same time;;;;
;;standardDrivingTime;Standard driving time for the organization’s technicians to drive to and between work places in the serving area;;;;
;WorkSpecification;;WorkSpecification describes the characteristics of a type of (manual) work. The characteristic/characteristic value pattern may be applied for WorkSpecification (and work as an instance). For example, WorkSpecification could be “Assembly of server blade in a shelf”.;;;;
;;isAppointmentRequired;Specifies if this kind of work requires an appointment with the customer/owner to be performed at their location;;;;
;;standardCapacityRequired;Standard workforce capacity (man hour, man day) under normal condition and assumptions that the work requires to be completed;;;;
;;standardDuration;Standard duration of time, under normal condition and assumptions, that the work can take to be completed;;;;
;;status;Status of the Work Specification, such as planned, approved, active, inactive;;;;
;WorkSpecificationCost;;A monetary amount assigned to a WorkSpecification that represents the cost to the business to plan, develop, and implement the WorkSpecification.;;;;
;;costToBusiness;Monetary amount of the cost to do work;;;;
;WorkSpecificationRole;;This is an abstract base class that defines a WorkSpecification in terms of a set of roles which are then used to characterize the invariant functionality of the Work. For example, a specification of cable layout work can have the role of network build, or the role of a service fulfillment task.;;;;
;;name;Name of the role that this work specification can play, or name of the sub-type of this specification;;;;
;WorkSpecificationType;;A classification that groups WorkSpecifications that share common characteristics. For example, Equipment maintenance work type, or network trouble shooting type. This class can be used to present a “Catalog” of work specifications.;;;;
;;type;The name of the type of WorkSpecification, used to group or catalog the works. For example, type can be ServiceInstallation Works, Infrastructure Works, etc.;;;;
;WorkSpecificationVersion;;A particular form or variety of a WorkSpecification that is different from others or from the original. The form represents differences in properties that characterize a WorkSpecification that are not enough to justify the creation of a new WorkSpecification.;;;;
;;date;The date the version was created.;;;;
;;number;A number that represents the occurrence of the version in the sequence of versions.;;;;
;;type;"The significance of the Version.

Permitted Values: Major, Minor";;;;
;;validFor;The period during which the version is applicable.;;;;
;WorkSpecRelationship;;This association class specifies the relationship between WorkSpecifications. For example, an equipment maintenance work task requires a service re-routing work task. Note: this Relationship will affect the Relationship between corresponding WorkItems, i.e. WorkOrderFulfillment (start-to-start, start-to-finish, etc.) in Project ABE, as well as the Scheduling mechanism.;;;;
;;type;Type of relationship, can be dependent, substitution, exclusive, etc.;;;;
;;validFor;The time period for which the Relationship is valid.;;;;
Workforce ABE.Workforce Resource ABE;;;WorkforceResource ABE represents the employees and other non-human resources involved in field operations.;;;;
;WorkforceEmployeePool;;Represents an employee pool, as a set or group of employees available for assignment to work tasks. A WorkforceOrganizationRole can have many workforce pools, and vice versa, a pool can contain employees from more than one organization. Examples of a Pool are Fiber installation team, service repair team, etc. A Pool contains people/resources with particular skills, availability, location, other restrictions, and preferences. Pool is associated with Capacity. For example, a WorkForceEmpolyeePool shows that on July 1, from 8 am to 12 pm there are 100 man hours available with the skill of fiber layout for the New York area. A detailed model of the capacity of the pool down to timeslot, skill/work level is a subject for a future SID release.;;;;
;;isWfSupplierEmployeePool;Indicates whether this pool is managed by the workforce provider company, or by a 3rd-party contractor;;;;
;WorkforceEmployeePoolAssignment;;Represents an association class and defines specific characteristics for the assignment of an employee to a pool. For example, assignment of fiber technicians to the Installation and Repair team pools, serving the New York Area in the first quarter.;;;;
;;poolAssignmentRestriction;Represents any limitation of the assignment other than time period. For example, this employee’s assignment to the pool has the highest priority compared to other assignments.;;;;
;;validFor;The period of time during which the Assignment is Valid.;;;;
;WorkforceEmployeeRole;;This is a PartyRole that represents individuals who are involved in the workforce process as employees with particular skills. For example, Field Technician, Network Engineer, Supervisor, etc.;;;;
;;skillLevel;Indicates the qualification level of the technician: for example, intern, entry level, senior/highly qualified;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;WorkforceOrganizationRole;;This is a PartyRole that represents organizations involved in field operations. It can be the CSP Field Technician department itself, or a 3rd-party contractor company. Note that OrganizationRole has Calendar, inherited from Calendar of PartyRole.;;;;
;;organizationRoleName;Name of the OrganizationRole;;;;
;;status;Used to track the lifecycle status, e.g. existing, prospective or former customers.;;;;
;;validFor;The time period that the PartyRole is valid for;;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;WorkforcePoolAssignment;;An abstract class representing assignment of an employee or other resource to a pool. An employee can be assigned to more than one pool. The attribute poolAssignmentRestriction is a place holder that represents any limitation of the assignment other than time period. Pool assignment will update available capacity WorkSchedule of some organization.;;;;
;;poolAssignmentRestriction;Represents any limitation of the assignment other than time period. For example, this employee’s assignment to the pool has the highest priority compared to other assignments.;;;;
;;validFor;The period of time during which the Assignment is Valid.;;;;
;WorkforceResourcePool;;Represents a resource pool as a set of resources (both physical and logical) available for assignment to work tasks. For example, the Dallas pool for fiber rollout for a weekday contains X number of trucks, Y number of test kits, etc.;;;;
;;isWfSupplierResourcePool;Indicates whether this pool is managed by the workforce provider company, or by a 3rd-party contractor;;;;
;WorkforceResourcePoolAssignment;;Represents an association class and defines specific characteristics for the assignment of a resource to a pool. For example, assign a fiber test kit to the Dallas Pool for July.;;;;
;;poolAssignmentRestriction;Represents any limitation of the assignment other than time period. For example, this employee’s assignment to the pool has the highest priority compared to other assignments.;;;;
;;validFor;The period of time during which the Assignment is Valid.;;;;
;WorkforceResourceRole;;Defines the concept of various types of roles associated with WorkforceResources (both physical and logical). For example, tools (meter, ladder), Truck, GPS, Handheld, etc.;;;;
;;status;Indicates the working status of the resource;;;;
;;roleCombination;"A roleCombination is an array of string attributes that are used to identify and potentially select one or more policies for a set of managed entities from among a much larger set of available policies.

Values of this attribute should be entered in comma separated value format; white space should be ignored.";;;;
;;roleSelectionMethod;"This is an enumerated integer that defines the precise means used to select one or more entities which map to one or more roles contained in the roleCombination attribute of this object. Values include:

0: retrieve all
1: retrieve intersection

For exampe, assume that there is an external query engine that is looking for the roles edge or ethernet. The result of this query will look at the roleCombination and roleSelectionMethod attributes of each managed object that it is querying.

If the value of this attribute is 0, then all managed objects that have their roleCombination set to either {edge}, {ethernet}, or {edge, ethernet} will be retrieved. In contrast, if the value of this attribute is 1, then only those managed objects whose roleCombination attribute is set to {edge, ethernet} will be retrieved.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:
This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
;WorkforceResourceTool;;An example class that represents the specific role of workforce resources. Examples are tester kits, GPS, Trucks, etc.;;;;
;;status;Indicates the working status of the resource;;;;
;;roleCombination;"A roleCombination is an array of string attributes that are used to identify and potentially select one or more policies for a set of managed entities from among a much larger set of available policies.

Values of this attribute should be entered in comma separated value format; white space should be ignored.";;;;
;;roleSelectionMethod;"This is an enumerated integer that defines the precise means used to select one or more entities which map to one or more roles contained in the roleCombination attribute of this object. Values include:

0: retrieve all

1: retrieve intersection

For exampe, assume that there is an external query engine that is looking for the roles edge or ethernet. The result of this query will look at the roleCombination and roleSelectionMethod attributes of each managed object that it is querying.

If the value of this attribute is 0, then all managed objects that have their roleCombination set to either {edge}, {ethernet}, or {edge, ethernet} will be retrieved. In contrast, if the value of this attribute is 1, then only those managed objects whose roleCombination attribute is set to {edge, ethernet} will be retrieved.";;;;
;;description;"This is a string, and defines a textual free-form description of the object.

Notes:

This attribute doesn’t exist in M.3100. The CIM has two attributes for this purpose, Caption (a short description) and Description.";;;;
;;ID;Unambiguously distinguishes different object instances.;;;;
;;name;Represents a user-friendly identifier of an object. It is a (possibly ambiguous) name by which the object is commonly known in some limited scope (such as an organization) and conforms to the naming conventions of the country or culture with which it is associated. It is NOT used as a naming attribute (i.e., to uniquely identify an instance of the object).;;;;
Workforce Resource ABE.Work ABE;;;;;;;
;Work;;The Work entity is used to record actual executed work, i.e. an instance of that entity is created for the actual work described by the WorkSpecification. If there are characteristics defined for the WorkSpecification, the work instance has a distinct value assigned for those characteristics. Instances of Work are associated to the WorkOrderItem. The quantity attribute can be used if the same work has been done more than once identically (based on the similar attribute in WorkOrderItem).;;;;
;;quantity;"Represents how many times the same work task has been done identically.

Notes: Default is 1";;;;
;WorkRole;;This is an abstract base class that defines a Work task in terms of a set of roles which are then used to characterize the functionality of the Work. For example, a particular work of fiber rollout at a location at a certain date can play the role of a build task of an infrastructure project or the role of an installation task in a service fulfillment project.;;;;
;;name;Name of the role that this work plays;;;;
Workforce ABE.Workforce Schedule ABE;;;The Workforce Schedule ABE defines reservation and assignment of a technician or resource to a task.;;;;
;WorkforceEmployeeAssignment;;Represents an assignment of a particular WorforceEmployeeRole for a particular work task in a specific timeframe. For example, assignment of a person in a network engineer role to a trouble shooting work task for at least 2 hours. The assignment is associated with a CalendarEntry of an Assignment WorkSchedule.;;;;
;;status;Completion status of the assignment, like started, in-progress, uncompleted, completed. Note: this is not always the same as the status of the work, as there can be more than one employee assigned to the work.;;;;
;WorkforceEmployeeReservation;;Represents an implementation of a request for reservation of work time in some human resource pool. It is also possible to reserve the work time of an individual employee. Note: the reservation, or booking according to appointment, is associated to Calendar Entry. The CalendarEntry here can belong to a reservation WorkSchedule. This Calendar entry may be floating. Once the Reservation becomes an Assignment (to be dispatched), a particular time slot (Calendar Entry) can be fixed in the WorkSchedule.;;;;
;;validFor;"The period of time during which an employee or a pool is reserved for the work.

Notes: This validFor reservation time may be different from the CalendarEntry defining when exactly the work must be performed. For example, because it considers variables involved in completing the work task (such as preparation), the reservation time frame may be longer than the time specified by CalendarEntry.";;;;
;WorkforceResourceAssignment;;Represents an assignment of a particular resource for particular work in a specific timeframe. For example, assignment of a fiber test kit (or, additional example, a role of a test kit) to a fiber rollout work for a date.;;;;
;;actualCost;Actual Cost of the assignment of the resource (tools) to the work.;;;;
;WorkforceResourceReservation;;Represents an implementation of a request for the reservation of usage time in some resource pool (tools, trucks, materials, etc.). It is also possible to reserve usage time of a particular resource.;;;;
;;validFor;The period of time during which a Resource or a pool is reserved for the work.;;;;
;WorkSchedule;;Being a subclass of SimpleCalendar, WorkSchedule and its variants describes various appointment, reservation, and assignment schedules of an organization. For example, a WorkSchedule shows that a contractor team responsible for the New York area has been receiving 100 requests for fiber installation during July and is currently scheduled to perform 80 of them.;;;;
;;granularity;"Represents the granularity of the timeslots in the WorkSchedule. For example, with granularity = 2 hours, a work task that lasts 1 hour should take the whole two hours.

Permitted Values: Hour

Notes:  This is to accommodate business rules of certain organizations about the granularity of work windows. It is to be considered with the granularity of employee pools (not introduced in this release). This attribute is optional, since there can be irregular or mixed granularity. For example, work should take 4 hours during business hours, and 2 hours after business hours.";;;;
;;calendricalSystem;"The default calendrical system for the Calendar

Note:

CALSCALE [iCalendar]";;;;
;;description;Records the calendar purpose and any other comments;;;;
;;ID;Unique identifier;;;;
