ABE_Name;BE_Name;Attribute_Name;Documentation;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;unique;"An indicator that specifies if a value is unique for the specification.

Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""";;;;
;;validFor;The period of time for which a characteristic is applicable.;;;;
;;valueType;A kind of value that the characteristic can take on, such as numeric, text, and so forth.;;;;
;CompetitorIntelCharacteristicValue;;A number or text that can be assigned to a CompIntelCharacteristic.;;;;
;;fromValue;The low range value that a characteristic can take on.;;;;
;;isDefault;Indicates if the value is the default value for a characteristic.;;;;
;;rangeInterval;"An indicator that specifies the inclusion or exclusion of the valueFrom and valueTo attributes.

Possible values are ""open"", ""closed"", ""closedBottom"" and ""closedTop"".";;;;
;;toValue;The upper range value that a characteristic can take on.;;;;
;;unitOfMeasure;A length, surface, volume, dry measure, liquid measure, money, weight, time, and the like. Iin general, a determinate quantity or magnitude of the kind designated, taken as a standard of comparison for others of the same kind, in assigning to them numerical values, as 1 foot, 1 yard, 1 mile, 1 square foot.;;;;
;;validFor;The period of time for which a value is applicable.;;;;
;;value;"A discrete value that the characteristic can take on.

Either value or valueFrom and/or valueTo are required.";;;;
;;valueType;A kind of value that the characteristic can take on, such as numeric, text, and so forth.;;;;
;CompetitorIntelligence;;Facts gathered about a Competitor's plans and activities. These facts can be used to perform Competitor SWOT analysis in order to better understand a Competitor.;;;;
;;description;A narrative that describes the CompetitorIntelligence.;;;;
;;ID;A unique identifier for the CompetitorIntelligence.;;;;
;;validFor;The period during which the CompetitorIntelligence is applicable.;;;;
;CompetitorIntelligenceMarketSegment;;A MarketSegment in which a Competitor makes ProductOfferings available.;;;;
;;plannedEntryDate;The date on which the Competitor intends to begin making ProductOfferings available to a MarketSegment.;;;;
;;plannedMarketCoverage;A percent or description that describes the degree to which a Competitor will/does/has extend into a MarketSegment.;;;;
;;plannedSpending;The amount of money that a Competitor intends on spending make ProductOfferings available in a MarketSegment.;;;;
;;rank;The degree of importance or excellence of a Competitor in a MarketSegment relative to other Competitors in the MarketSegment.;;;;
;CompetitorIntelligencePartyRole;;The PartyRole who developed the CompetitiveIntelligence.;;;;
;;ciSource;The origin of the CompetitorIntelligence, such as a financial report, press release, or product brochure, gathered by a PartyRole.;;;;
;;dateAcquired;The date on which the CompetitorIntelligence was gathered by a Party playing a PartyRole.;;;;
;;description;A narrative that explains such things as how the intelligence was gathered.;;;;
;CompositeCompIntelCharacteristic;;A type of CompIntelCharacteristic that is formed by aggregating other CompIntelCharacteristic, which may be Composite or Atomic CompIntelCharacteristic.;;;;
;;derivationFormula;A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.;;;;
;;description;A narrative that explains what the characteristic is.;;;;
;;extensible;An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.;;;;
;;ID;A unique identifier for the CompetitorIntelCharacteristic.;;;;
;;maxCardinality;The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.;;;;
;;minCardinality;The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;unique;"An indicator that specifies if a value is unique for the specification.

Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""";;;;
;;validFor;The period of time for which a characteristic is applicable.;;;;
;;valueType;A kind of value that the characteristic can take on, such as numeric, text, and so forth.;;;;
Competitor ABE.Competitor Product Correlation ABE;;;;;;;
;AtomicCompProdCorrelationCharacteristic;;A type of CompetitorProducutCharacteristic that does not have any subordinate CompetitorProductCharacteristics, that is, an AtomicCompProdCorrelationCharacteristic is a leaf-level CompProdCorrelationCharacteristic.;;;;
;;derivationFormula;A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.;;;;
;;description;A narrative that explains what the characteristic is.;;;;
;;extensible;An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.;;;;
;;ID;A unique identifier for the CompProdCorrelationCharacteristic.;;;;
;;maxCardinality;The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.;;;;
;;minCardinality;The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;unique;"An indicator that specifies if a value is unique for the specification.

Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""";;;;
;;validFor;The period of time for which a characteristic is applicable.;;;;
;;valueType;"A kind of value that the characteristic can take on, such as numeric, text, and so forth.

Required, if the specification is not a composite.";;;;
;CompetitorProductCorrelation;;A comparison or relationship between an enterprise's ProductOffering with a Competitors' ProductOfferings.  Information about the correlation may include MarketSegments.;;;;
;;degreeOfCorrelation;A percentage that measures how closely an enterprise's ProductOffering compares to a CompetitorProductOffering.;;;;
;;description;A narrative that explains what the CompetitorProductCorrelation is.;;;;
;;lifeCycleStage;The stage in the life cycle of the ProductOfferings being correlated. Examples are acquisition, retention, win back, and so forth.;;;;
;;validFor;The period during which the CompetitorProductCorrelation is applicable.;;;;
;CompositeCompProdCorrelationCharacteristic;;A type of CompetitorProductCorrelation that is formed by aggregating other CompetitorProductCorrelations, which may be Composite or Atomic CompetitorProductCorrelations.;;;;
;;derivationFormula;A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.;;;;
;;description;A narrative that explains what the characteristic is.;;;;
;;extensible;An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.;;;;
;;ID;A unique identifier for the CompProdCorrelationCharacteristic.;;;;
;;maxCardinality;The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.;;;;
;;minCardinality;The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;unique;"An indicator that specifies if a value is unique for the specification.

Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""";;;;
;;validFor;The period of time for which a characteristic is applicable.;;;;
